Parcel_Number
41-08-12-400-004
41-05-16-300-008
41-08-16-300-012
41-08-12-300-032
41-08-34-226-003
41-04-25-400-027
41-04-25-400-028
41-04-24-200-018
41-04-24-200-039
41-07-16-200-011
41-07-18-201-001
41-08-31-351-002
41-08-31-351-005
41-22-32-200-007
41-07-18-226-003
41-07-07-400-067
41-02-22-476-011
41-02-36-400-019
41-06-15-300-012
41-05-22-476-025
41-06-14-101-004
41-06-18-102-033
41-02-27-200-025
41-24-33-300-024
41-08-32-400-031
41-08-32-400-047
41-02-18-400-023
41-02-18-400-014
41-08-06-476-009
41-05-16-400-002
41-04-32-300-012
41-23-36-400-036
41-23-36-400-003
41-04-26-300-036
41-04-26-300-011
41-04-24-300-032
41-04-24-400-021
41-03-30-356-001
41-02-22-200-050
41-11-01-200-044
41-07-19-100-012
41-07-02-200-031
41-06-35-401-003
41-05-23-452-003
41-05-23-452-004
41-05-23-452-002
41-07-05-100-019
41-06-13-476-006
41-02-29-300-021
41-07-34-126-006
41-24-31-400-011
41-02-20-100-001
41-04-35-201-011
41-07-35-200-040
41-04-29-200-013
41-04-29-200-028
41-02-22-100-020
41-02-22-200-046
41-01-35-326-002
41-08-02-100-023
41-04-16-400-062
41-04-14-400-005
41-11-04-101-046
41-11-04-101-047
41-07-01-100-012
41-04-27-127-003
41-06-19-100-018
41-08-13-102-006
41-17-24-431-004
41-02-33-400-042
41-08-08-351-005
41-02-32-200-024
41-07-27-451-008
41-07-27-451-009
41-02-28-200-034
41-02-28-200-033
41-24-35-100-011
41-02-22-200-043
41-02-22-200-074
41-02-20-200-011
41-06-01-100-026
41-07-17-451-041
41-04-34-100-026
41-03-30-313-012
41-04-36-101-022
41-04-35-301-010
41-08-16-201-007
41-08-09-300-040
41-02-21-200-042
41-07-24-100-053
41-07-22-100-002
41-07-19-300-011
41-07-14-100-009
41-07-10-100-018
41-22-32-100-007
41-22-32-100-012
41-07-08-100-013
41-01-33-151-011
41-03-15-200-014
41-06-19-200-020
41-16-07-300-007
41-17-19-330-004
41-03-07-200-045
41-18-07-354-004
41-10-32-351-039
41-17-17-251-001
41-18-30-401-003
41-18-31-378-004
41-17-24-453-022
41-17-24-453-034
41-23-01-326-037
41-17-14-452-033
41-11-33-100-048
41-11-33-100-047
41-02-13-100-009
41-18-13-200-009
41-18-13-200-010
41-18-13-200-013
41-09-25-127-005
41-17-13-254-014
41-14-04-453-015
41-02-03-100-027
41-22-06-477-002
41-17-22-354-036
41-17-19-330-009
41-17-23-102-005
41-10-30-201-028
41-17-15-101-015
41-17-29-400-038
41-17-14-381-021
41-01-04-200-032
41-01-04-200-028
41-17-23-478-001
41-18-29-454-031
41-18-21-452-008
41-11-29-351-003
41-23-09-100-008
41-19-07-476-013
41-17-19-427-027
41-17-15-426-049
41-18-14-426-004
41-17-24-227-003
41-18-30-326-009
41-18-30-326-018
41-18-31-378-009
41-13-05-400-055
41-18-17-376-005
41-18-32-101-002
41-22-05-425-015
41-10-35-200-019
41-09-36-428-050
41-09-25-226-023
41-15-12-100-039
41-18-31-351-044
41-11-28-400-039
41-18-15-301-003
41-18-14-101-007
41-18-14-101-014
41-02-09-200-009
41-02-07-200-003
41-17-35-201-007
41-18-20-481-003
41-10-32-453-018
41-18-07-381-020
41-18-07-381-033
41-23-01-301-031
41-17-15-226-036
41-02-03-201-025
41-17-24-481-006
41-17-24-481-007
41-24-06-100-041
41-24-06-100-048
41-18-32-351-034
41-18-30-351-032
41-17-15-129-003
41-17-14-481-009
41-17-14-401-014
41-17-14-401-017
41-17-33-126-005
41-17-33-126-008
41-23-02-476-017
41-20-12-400-031
41-16-01-200-015
41-01-01-100-028
41-19-27-260-012
41-04-01-100-006
41-18-18-352-032
41-23-04-400-047
41-23-04-400-013
41-18-30-277-023
41-18-18-353-016
41-23-07-202-005
41-19-14-300-017
41-12-28-200-004
41-09-21-400-010
41-24-07-100-052
41-17-36-256-006
41-17-36-256-005
41-17-15-451-022
41-18-25-400-015
41-18-21-451-006
41-18-24-200-089
41-22-03-100-006
41-11-34-100-002
41-22-02-301-040
41-17-11-453-016
41-02-12-100-024
41-11-36-100-047
41-17-17-136-006
41-02-06-100-025
41-10-35-200-008
41-18-29-180-023
41-24-01-400-007
41-09-30-100-024
41-17-36-503-001
41-18-15-253-003
41-10-35-200-009
41-09-24-451-013
41-18-31-376-055
41-18-16-126-014
41-18-21-485-013
41-04-11-200-001
41-17-14-482-001
41-04-04-400-022
41-04-04-400-024
41-04-02-400-002
41-17-24-427-002
41-23-06-100-013
41-18-29-226-001
41-18-12-451-011
41-17-14-426-009
41-18-15-253-005
41-18-15-253-008
41-18-26-376-025
41-02-06-351-006
41-18-32-378-024
41-18-32-378-027
41-02-25-477-008
41-12-27-100-012
41-21-03-475-010
41-12-27-100-018
41-12-27-100-019
41-17-14-428-009
41-17-36-277-007
41-13-09-126-030
41-18-14-300-068
41-02-11-400-035
41-18-17-102-007
41-18-17-102-011
41-18-17-102-012
41-17-13-155-048
41-15-06-301-008
41-02-06-200-036
41-02-06-200-045
41-22-05-365-014
41-02-01-400-019
41-18-08-382-046
41-17-21-451-034
41-21-04-300-007
41-17-15-478-005
41-17-16-279-002
41-17-15-479-020
41-21-03-200-041
41-17-34-126-001
41-01-09-300-033
41-01-09-300-034
41-01-09-300-035
41-17-15-403-005
41-04-08-100-039
